date,cost_act,cost_ml_eval,month
2025-06-29,0.298262692901091,0.3431418703689497,2025-06
2025-06-30,2.8720176519129406,3.2388406235814444,2025-06
2025-07-01,2.6561436544366983,3.104147185507501,2025-07
2025-07-02,5.534382309472754,5.741720733308499,2025-07
2025-07-03,2.234112859224227,2.538630795126105,2025-07
2025-07-04,1.385019295076293,1.6096963334441758,2025-07
2025-07-05,2.4263597480236436,2.5174548016349756,2025-07
2025-07-06,4.221726022250999,4.254198529560624,2025-07
2025-07-07,2.1850740217201117,2.358985569951111,2025-07
2025-07-08,1.7835603353794278,1.9058101693166514,2025-07
2025-07-09,2.3120925707197864,2.860823542940575,2025-07
2025-07-10,2.3666052135581945,2.6780401085422167,2025-07
2025-07-11,2.0562827383524973,2.228237740460121,2025-07
2025-07-12,2.2531064448411198,2.6014431997691947,2025-07
2025-07-13,2.448013404339238,2.5687401970808055,2025-07
2025-07-14,2.0970562156997854,2.4248423214634873,2025-07
2025-07-15,4.0243455802374966,4.3984750289220464,2025-07
2025-07-16,2.1590945736917018,2.4054687758492856,2025-07
2025-07-17,2.2172417802891085,2.537452248248084,2025-07
2025-07-18,2.231337902205715,2.6067183533198657,2025-07
2025-07-19,4.48410727433259,4.627324538644544,2025-07
2025-07-20,4.68616101577298,4.834682577162414,2025-07
2025-07-21,3.4819108251168327,3.9775082715010854,2025-07
2025-07-22,4.787949180590102,5.005182066978543,2025-07
2025-07-23,2.4201887212954416,2.6196176102242696,2025-07
2025-07-24,2.9039529690902897,3.285522009610452,2025-07
2025-07-25,3.5180268281491323,3.7741460773567765,2025-07
2025-07-26,6.151030795343139,6.151030795343138,2025-07
2025-07-27,4.762039854817775,4.822964113316391,2025-07
2025-07-28,2.8883092195416844,2.930937661806378,2025-07
2025-07-29,1.9011662603887276,2.147323537848583,2025-07
2025-07-30,1.4067375592062235,1.5768839540426223,2025-07
2025-07-31,4.0784275900553135,4.164118411220853,2025-07
2025-08-01,4.538428407748461,4.962104053439971,2025-08
2025-08-02,3.021681503178103,3.144221077660434,2025-08
2025-08-03,3.326844930580056,3.6364434433529236,2025-08
2025-08-04,4.13428953547725,4.384130800641499,2025-08
2025-08-05,2.0762433415563617,2.542621798708346,2025-08
2025-08-06,3.0612244652171494,3.254330511440574,2025-08
2025-08-07,2.176785874079262,2.491430915573841,2025-08
2025-08-08,4.313397506841629,4.409287698397303,2025-08
2025-08-09,3.3981185363767117,3.7205622034218813,2025-08
2025-08-10,3.292375773566536,3.6079676475542763,2025-08
2025-08-11,2.983183620354383,3.329051090339438,2025-08
2025-08-12,4.429282713858258,4.464050104059736,2025-08
2025-08-13,3.9997430290639615,4.2793795033169335,2025-08
2025-08-14,5.156388458710605,5.30745340612734,2025-08
2025-08-15,3.2667536706231917,3.524575372574541,2025-08
2025-08-16,4.48711281384257,4.487112813842571,2025-08
2025-08-17,3.222147977588893,3.562414293813289,2025-08
2025-08-18,1.980071404003592,2.1393223724735293,2025-08
2025-08-19,2.860978299854202,2.913513406844598,2025-08
2025-08-20,1.5788532512421098,1.9108237583172099,2025-08
2025-08-21,2.1530598337397264,2.3697604392965355,2025-08
2025-08-22,3.3152001482381497,3.6541668567657903,2025-08
2025-08-23,3.3786934987072703,3.739450766490659,2025-08
2025-08-24,3.655135917574702,4.0247763294196215,2025-08
2025-08-25,2.039786043229961,2.4187654041357805,2025-08
2025-08-26,2.264626226623867,2.4769917397856434,2025-08
2025-08-27,3.1723124906543627,3.4473288859280458,2025-08
2025-08-28,3.34753324833982,3.41511357270531,2025-08
2025-08-29,4.418950926403358,4.497328564928757,2025-08
2025-08-30,3.0247674283389094,3.3402475341451128,2025-08
2025-08-31,3.4684268603834654,3.557669535440754,2025-08
2025-09-01,2.3108519484315013,2.421262206472915,2025-09
2025-09-02,3.274134396751024,3.422928729674868,2025-09
2025-09-03,2.6451694336710103,2.7245556101411577,2025-09
2025-09-04,3.7782626771677306,3.9878343190499024,2025-09
2025-09-05,3.527092876656481,3.7164492037795838,2025-09
2025-09-06,2.5710230643906975,2.957208417597209,2025-09
2025-09-07,3.0535796859214552,3.34363303344315,2025-09
2025-09-08,3.5967157364627464,3.747837284873378,2025-09
2025-09-09,1.925996398703625,2.211810791401618,2025-09
2025-09-10,3.3440462990504614,3.4484373560559822,2025-09
2025-09-11,2.79536599103583,2.8960460334225475,2025-09
2025-09-12,3.324667687486945,3.5678215494544805,2025-09
2025-09-13,4.223039347936588,4.245576046979066,2025-09
2025-09-14,3.189699413804911,3.344179814180116,2025-09
2025-09-15,2.595593017359836,2.683323763725264,2025-09
2025-09-16,2.0379772919131676,2.0895872991371855,2025-09
2025-09-17,4.234012091362108,4.2647477087457295,2025-09
2025-09-18,4.083586708712078,4.289359462357339,2025-09
2025-09-19,4.8829072963292415,5.039646661245288,2025-09
2025-09-20,4.612357129468766,4.6199620496987075,2025-09
2025-09-21,2.959087877546176,2.960360581925336,2025-09
2025-09-22,3.1311311341141614,3.3466384918410337,2025-09
2025-09-23,3.1473270788806698,3.2078544769544597,2025-09
2025-09-24,7.468351692840947,7.575320979124006,2025-09
2025-09-25,6.2585466944317805,6.2585466944317805,2025-09
2025-09-26,3.510456452246729,3.621312407246388,2025-09
2025-09-27,5.816332874268329,5.856945571181832,2025-09
2025-09-28,4.158327043292807,4.400763811157679,2025-09
2025-09-29,3.0622155745434103,3.2671967686908228,2025-09
2025-09-30,3.754625502905014,3.9686765020751777,2025-09
2025-10-01,3.003469472797338,3.3154072289671515,2025-10
